iter	Passed	Remaining
534	5576	6035
535	5585	6023
536	5594	6011
537	5604	5999
538	5613	5988
539	5622	5976
540	5631	5964
541	5640	5952
542	5649	5940
543	5658	5928
544	5667	5916
545	5676	5904
546	5684	5892
547	5695	5882
548	5705	5871
549	5714	5860
550	5724	5848
551	5733	5837
552	5743	5826
553	5753	5815
554	5762	5803
555	5770	5791
556	5781	5781
557	5791	5770
558	5801	5760
559	5812	5749
560	5823	5740
561	5833	5730
562	5843	5718
563	5852	5707
564	5862	5696
565	5873	5686
566	5885	5678
567	5896	5668
568	5906	5657
569	5917	5647
570	5927	5636
571	5937	5626
572	5947	5615
573	5958	5605
574	5969	5595
575	5978	5584
576	5988	5573
577	5996	5560
578	6006	5549
579	6016	5539
580	6025	5527
581	6035	5516
582	6044	5505
583	6054	5494
584	6063	5482
585	6073	5472
586	6082	5461
587	6092	5450
588	6100	5437
589	6111	5427
590	6120	5416
591	6130	5405
592	6139	5394
593	6148	5382
594	6157	5370
595	6167	5360
596	6176	5349
597	6186	5338
598	6196	5327
599	6206	5316
600	6215	5305
601	6225	5294
602	6233	5282
603	6242	5270
604	6251	5259
605	6261	5248
606	6270	5237
607	6280	5226
608	6290	5216
609	6300	5205
610	6310	5194
611	6320	5184
612	6330	5173
613	6339	5162
614	6349	5152
615	6358	5140
616	6367	5129
617	6376	5118
618	6386	5107
619	6396	5096
620	6405	5085
621	6415	5074
622	6424	5063
623	6434	5052
624	6444	5041
625	6453	5031
626	6463	5020
627	6474	5010
628	6485	5000
629	6495	4990
630	6504	4978
631	6513	4967
632	6523	4956
633	6532	4946
634	6539	4932
635	6549	4922
636	6559	4911
637	6569	4901
638	6578	4890
639	6588	4879
640	6598	4868
641	6609	4858
642	6618	4848
643	6627	4837
644	6637	4826
645	6647	4815
646	6658	4805
647	6668	4795
648	6678	4785
649	6687	4774
650	6696	4762
651	6705	4751
652	6714	4740
653	6723	4729
654	6732	4718
655	6740	4706
656	6749	4695
657	6759	4684
658	6768	4673
659	6784	4666
660	6796	4658
661	6806	4647
662	6816	4636
663	6828	4627
664	6845	4621
665	6856	4612
666	6865	4601
667	6875	4590
668	6884	4579
669	6893	4567
670	6902	4556
671	6910	4545
672	6920	4534
673	6930	4524
674	6939	4513
675	6948	4502
676	6957	4491
677	6966	4480
678	6976	4469
679	6985	4458
680	6994	4447
681	7004	4436
682	7013	4425
683	7022	4414
684	7033	4404
685	7043	4394
686	7053	4384
687	7062	4372
688	7066	4358
689	7076	4348
690	7085	4337
691	7094	4326
692	7104	4316
693	7114	4305
694	7123	4294
695	7132	4283
696	7144	4274
697	7157	4265
698	7166	4254
699	7177	4244
700	7194	4238
701	7205	4228
702	7214	4217
703	7224	4207
704	7233	4196
705	7242	4185
706	7252	4175
707	7261	4164
708	7271	4153
709	7281	4143
710	7290	4132
711	7299	4121
712	7308	4110
713	7317	4099
